SKU,Name,Brand,Price,Gender,Discount,Quantity
"PD000001","Shox R4","Nike","5700","Men","20","2"
"PD000002","Cortez Leather SE","Nike","4300","Men","0","1"
"PD000003","Air Force 1 07 WB","Nike","5000","Men","10","15"
"PD000004","Dunk Low Retro Limited","Nike","4700","Men","10","6"
"PD000005","Dunk Low Retro Premium","Nike","5200","Men","0","6"
"PD000006","Jordan 1 Retro High OG","Nike","5000","Women","10","3"
"PD000007","Air Jordan 1 Low SE","Nike","3780","Men","0","8"
"PD000008","Air Jordan 1 Mid SE","Nike","3500","Men","25","1"
"PD000009","Killshot 2 Textile","Nike","4000","Women","0","15"
"PD000010","Killshot 2","Nike","4400","Women","0","15"
"PD000011","Killshot 2 Leather","Nike","4500","Women","10","15"
"PD000012","Air Force 1 07","Nike","3700","Women","0","15"
"PD000013","Air Jordan 1 Brooklyn Low","Nike","4000","Women","10","15"
"PD000014","Air Force 1 07 Vintage","Nike","3000","Women","0","15"
"PD000015","Air Force 1 07 Mini Jewel","Nike","3000","Women","50","15"
"PD000016","Court Vision Low Next Nature","Nike","2100","Women","15","15"
"PD000017","Air Force 1 07 Mini Jewel","Nike","5000","Women","40","15"
"PD000018","Air Force 1 07","Nike","3700","Women","30","15"
"PD000019","Chuck Taylor All Star Malden Street","Converse","4700","Men","0","15"
"PD000020","Chuck Taylor All Star Tremont Street","Converse","4700","Men","0","15"
"PD000021","Star Player 76 Suede","Converse","3700","Men","0","15"
"PD000022","One Star 95","Converse","4000","Men","0","15"
"PD000023","Chuck 70","Converse","3000","Men","0","15"
"PD000024","All Star Classic Trainer Suede","Converse","2200","Men","0","15"
"PD000025","Classic Trainer Suede","Converse","2400","Men","0","15"
"PD000026","Converse Omega Trainer","Converse","2000","Men","0","15"
"PD000027","Converse x ADERERROR Wave Trainer","Converse","5500","Men","0","15"
"PD000028","Wave Trainer","Converse","4000","Women","20","15"
"PD000029","Run Star Trainer Suede","Converse","3100","Women","0","15"
"PD000030","Run Star Trainer","Converse","3000","Women","0","15"
"PD000031","Chuck Taylor All Star","Converse","4000","Women","0","15"
"PD000032","Chuck Taylor All Star High","Converse","4000","Women","0","15"
"PD000033","Star Player 76","Converse","2500","Women","0","15"
"PD000034","Omega Trainer","Converse","2000","Women","0","15"
"PD000035","Chuck Taylor All Star Move Canvas Platform","Converse","4800","Women","30","15"
"PD000036","Soft ride One4all","Puma","3000","Men","20","15"
"PD000037","MagMax NITRO","Puma","2000","Men","0","15"
"PD000038","Fast-Trac NITRO 3 Trail","Puma","2600","Men","0","15"
"PD000039","Deviate NITRO 3","Puma","2000","Men","0","15"
"PD000040","Suede Classic XXI Trainers","Puma","2100","Men","0","15"
"PD000041","ForeverRun NITRO 2","Puma","2700","Men","0","15"
"PD000042","Deviate NITRO Elite 3","Puma","2900","Men","0","15"
"PD000043","PUMA x HYROX Deviate NITRO Elite 3","Puma","5000","Men","0","15"
"PD000044","Palermo Eleveta","Puma","3000","Women","0","15"
"PD000045","Gazelle Indoor x Liberty London","Adidas","5900","Men","0","15"
"PD000046","Sambae x Liberty London","Adidas","5800","Men","0","15"
"PD000047","Superstar II","Adidas","2000","Men","0","15"
"PD000048","Lightshift","Adidas","2500","Men","0","15"
"PD000049","Runfalcon 5","Adidas","2700","Men","0","15"
"PD000050","Samba OG","Adidas","2100","Men","0","15"
"PD000051","Crazychaos 2000","Adidas","3000","Men","0","15"
"PD000052","Pureboost 5","Adidas","2000","Men","0","15"
"PD000053","Adidas Gazelle Indoor","Adidas","2300","Men","0","15"
"PD000054","Adizero Aruku","Adidas","2400","Women","0","15"
"PD000055","Samba Jane","Adidas","2000","Women","0","15"
"PD000056","Samba OG","Adidas","2000","Women","0","15"
"PD000057","SL 72 RS","Adidas","3000","Women","0","15"
"PD000058","Gazelle Indoor","Adidas","2300","Women","0","15"
"PD000059","Handball Spezial","Adidas","2500","Women","0","15"
"PD000060","Tokyo","Adidas","2300","Women","0","15"
"PD000061","Japan","Adidas","2300","Women","0","15"
"PD000062","Galaxy 7","Adidas","2000","Women","0","15"
"PD000063","Campus 00s","Adidas","3600","Women","0","15"
